chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0.0,0.0,518620,0,0,0,0,0,3,0.0,0.0,0,Ângelo Gabriel,0.0,151,False,Transferred to Al-Nassr,2024-09-05T10:38:18.297070Z,45,518620.jpg,0.0,Borges Damaceno,0.1,False,,u,6,8,0,5940,0,26237,40,0.0,0.0,Ângelo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,597,258,596,263,578,254,600,261,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,441,270,560,228,605,264,404,142,0.0,0.0
,,242880,0,0,-2,2,0,2,1.0,1.0,2,Benoît,0.5,153,False,,,43,242880.jpg,1.5,Badiashile,0.1,False,,a,6,8,3,6155,136,12058,14,0.1,0.7,B.Badiashile,73.0,127,0,0,0,1,0,0,0,0,0,0,0,23,8.2,0.9,0.0,0.9,1,0.00,0.05,0.05,1.20,400,139,402,141,493,193,427,144,,,,,,,0.0,0.0,0.04,0.04,0.85,0.71,559,141,304,100,310,103,432,158,0.71,0.0
,,482158,0,0,0,0,0,1,0.5,0.5,0,Lucas,0.0,154,False,,,40,482158.jpg,0.0,Bergström,0.3,False,,a,6,8,0,12456,8,13310,16,0.0,0.0,Bergström,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,495,57,480,39,442,30,498,57,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,639,68,428,50,502,57,332,48,0.0,0.0
,,122074,0,0,0,0,0,1,0.5,0.5,0,Marcus,0.0,155,False,,,40,122074.jpg,0.0,Bettinelli,0.3,False,,a,6,8,0,8533,7,13110,18,0.0,0.0,Bettinelli,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,458,37,442,18,403,9,461,37,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,593,47,389,29,467,37,295,44,0.0,0.0
,,486672,0,0,-1,1,0,3,4.3,4.3,2,Moisés,3.8,157,False,,,49,486672.jpg,3.1,Caicedo Corozo,1.6,False,,a,6,8,37,183037,1466,101137,869,0.8,7.6,Caicedo,62.0,1055,1,2,3,13,0,0,0,3,0,0,2,219,251.0,167.5,38.0,45.7,12,0.34,1.24,1.58,14.70,42,12,61,49,219,124,75,45,,,,,,,0.03,0.0,0.11,0.14,1.25,1.11,281,185,43,17,105,43,161,46,1.02,0.26
,,505187,0,0,-1,1,0,3,0.5,0.5,0,Cesare,0.0,158,False,,,44,505187.jpg,0.0,Casadei,0.1,False,,a,6,8,0,16107,78,17695,61,0.0,0.0,Casadei,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,547,223,544,228,520,217,550,226,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,521,302,505,189,555,229,412,146,0.0,0.0
,,172850,0,0,-3,3,0,2,0.5,0.5,0,Ben,0.0,160,False,,,47,172850.jpg,0.0,Chilwell,0.5,False,,a,6,8,0,24646,105,73865,175,0.0,0.0,Chilwell,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,625,221,623,221,609,218,627,221,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,335,44,591,217,632,220,254,94,0.0,0.0
100.0,100.0,478912,0,0,-2,2,0,3,0.5,0.5,0,Carney,0.0,161,False,,2024-10-04T12:30:06.437566Z,48,478912.jpg,0.0,Chukwuemeka,0.0,False,,a,6,8,0,3725,11,6568,6,0.0,0.0,Chukwuemeka,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,633,284,630,286,619,281,634,285,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,325,214,605,260,637,286,515,200,0.0,0.0
100.0,75.0,460028,0,0,0,0,0,2,2.3,1.7,2,Levi,1.8,162,False,,2024-11-12T14:30:07.619476Z,45,460028.jpg,2.2,Colwill,3.1,False,,a,6,8,26,506934,999,283889,931,0.4,5.8,Colwill,241.0,1080,0,0,2,14,0,0,0,3,0,0,1,128,198.2,50.5,42.0,29.1,12,0.19,0.81,1.00,15.40,79,25,223,60,211,55,177,48,,,,,,,0.02,0.0,0.07,0.09,1.28,1.17,402,80,177,57,197,63,103,42,1.0,0.17
100.0,100.0,179268,0,0,0,0,0,2,1.7,1.7,2,Marc,1.2,163,False,,2024-10-06T22:00:07.319833Z,50,179268.jpg,1.8,Cucurella Saseta,4.4,False,,a,6,8,20,358742,2201,594176,634,0.2,4.0,Cucurella,200.0,827,0,0,2,10,0,0,0,6,0,0,0,115,119.0,49.9,18.0,18.7,9,0.04,0.92,0.96,10.65,185,73,225,61,284,88,245,81,,,,,,,0.0,0.0,0.1,0.1,1.16,1.09,196,21,219,69,266,87,78,28,0.98,0.22
0.0,0.0,520295,0,0,-1,1,0,4,0.0,0.0,0,David Datro,0.0,164,False,Transferred to AEK Athens,2024-09-11T14:26:52.770225Z,54,520295.jpg,0.0,Fofana,0.1,False,,u,6,8,0,4727,0,14592,7,0.0,0.0,D.D.Fofana,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,668,69,667,69,664,69,668,69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,145,42,658,69,668,70,486,64,0.0,0.0
,,617054,0,0,0,0,0,4,0.5,0.5,0,Deivid Washington,0.0,165,False,,,50,617054.jpg,0.0,de Souza Eugênio,0.1,False,,a,6,8,0,12244,27,14911,43,0.0,0.0,Deivid,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,660,67,659,67,655,67,661,67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,242,54,645,67,661,68,409,58,0.0,0.0
,,215413,0,0,-4,4,0,3,0.7,0.7,1,Kiernan,0.2,166,False,,,56,215413.jpg,1.0,Dewsbury-Hall,0.1,False,,a,6,8,4,5466,42,22993,25,0.0,0.7,Dewsbury-Hall,241.0,45,0,0,0,2,0,0,0,0,0,0,0,12,7.4,12.4,0.0,2.0,0,0.00,0.03,0.03,1.13,405,197,327,188,668,303,403,201,,,,,,,0.0,0.0,0.06,0.06,2.26,4.0,105,66,366,179,413,206,420,151,0.0,0.0
,,220362,0,0,-2,2,0,2,0.5,0.5,0,Axel,0.0,167,False,,,43,220362.jpg,3.5,Disasi,0.3,False,,a,6,8,7,23216,65,43709,124,0.0,1.6,Disasi,73.0,94,0,0,1,0,0,0,0,0,0,0,0,29,13.0,1.5,0.0,1.5,1,0.00,0.00,0.00,1.90,378,135,396,137,491,191,415,139,,,,,,,0.0,0.0,0.0,0.0,1.82,0.0,554,136,478,191,73,13,318,117,0.96,0.96
,,448047,0,0,-2,2,1,3,4.5,4.5,10,Enzo,4.0,168,False,,,48,448047.jpg,2.6,Fernández,1.2,False,,a,6,8,29,136056,4980,192162,188,0.8,6.0,Enzo,10.0,697,1,2,1,9,0,0,0,1,0,0,0,161,114.0,186.3,58.0,35.9,7,1.35,1.16,2.51,7.20,192,74,55,46,177,107,123,75,3.0,,,,4.0,,0.17,0.0,0.15,0.32,0.93,1.16,319,211,35,14,158,66,190,57,0.9,0.13
0.0,0.0,232787,0,0,-1,1,0,3,0.0,0.0,0,Conor,0.0,169,False,Transferred to Atletico Madrid,2024-08-22T11:20:34.236891Z,59,232787.jpg,0.0,Gallagher,0.1,False,,u,6,8,0,1567,0,71477,7,0.0,0.0,Gallagher,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,670,305,670,305,669,304,670,305,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,85,54,663,299,670,305,403,141,0.0,0.0
0.0,0.0,514280,0,0,0,0,0,2,0.0,0.0,0,Alfie,0.0,170,False,Has joined Sheffield United on a season-long,2024-08-09T11:15:16.064928Z,40,514280.jpg,0.0,Gilchrist,0.0,False,,u,6,8,0,0,0,6418,4,0.0,0.0,Gilchrist,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,502,179,487,178,450,162,505,179,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,647,194,436,159,510,177,539,190,0.0,0.0
75.0,75.0,482609,0,0,-1,1,0,2,1.1,1.1,0,Malo,1.0,171,False,Ankle injury - 75% chance of playing,2024-11-13T09:30:07.704412Z,49,482609.jpg,1.2,Gusto,1.6,False,,d,6,8,11,170078,150,331026,1075,0.2,2.2,Gusto,73.0,726,0,0,0,12,0,0,0,2,0,0,0,55,105.4,106.2,74.0,28.6,9,0.92,0.38,1.30,10.31,205,82,130,27,149,28,181,50,,,,,,,0.11,0.0,0.05,0.16,1.28,1.49,280,29,245,82,343,113,158,59,1.12,0.0
0.0,0.0,225796,0,0,-1,1,0,2,0.0,0.0,0,Reece,1.2,172,False,Hamstring injury - Unknown return date,2024-11-21T14:00:08.020459Z,49,225796.jpg,1.2,James,0.5,False,,i,6,8,5,75697,13,46537,2569,0.2,1.0,James,241.0,240,0,0,0,4,0,0,0,0,0,0,0,32,38.2,23.2,0.0,6.2,3,0.00,0.22,0.22,5.78,325,116,290,90,628,222,342,113,2.0,,2.0,,,,0.0,0.0,0.08,0.08,2.17,1.5,267,27,217,68,342,112,268,100,1.12,0.0
0.0,0.0,549068,0,0,-1,1,0,3,0.0,0.0,0,Omari,0.0,173,False,Hamstring injury - Unknown return date,2024-09-08T23:00:06.668188Z,44,549068.jpg,0.0,Kellyman,0.0,False,,i,6,8,0,2773,8,4861,9,0.0,0.0,Kellyman,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,549,225,546,230,522,219,552,228,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,525,305,507,191,557,231,567,232,0.0,0.0
100.0,75.0,514356,0,0,0,0,0,3,2.5,1.9,0,Roméo,2.0,174,False,,2024-11-10T23:00:07.545590Z,45,514356.jpg,1.7,Lavia,0.9,False,,a,6,8,12,151664,374,171215,533,0.4,2.7,Lavia,21.0,345,0,1,0,7,0,0,0,2,0,0,0,64,73.6,71.2,0.0,14.6,5,0.00,0.26,0.26,7.79,253,111,172,110,575,251,276,135,,,,,,,0.0,0.0,0.07,0.07,2.03,1.83,438,267,155,66,278,126,212,68,1.3,0.0
0.0,0.0,66749,0,0,-2,2,0,4,0.0,0.0,0,Romelu,0.0,175,False,Permanent transfer to Napoli,2024-08-30T10:21:53.872158Z,63,66749.jpg,0.0,Lukaku Bolingoli,0.2,False,,u,6,8,0,8049,0,60191,17,0.0,0.0,Lukaku,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,672,72,672,72,671,72,672,72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,52,20,665,71,671,72,365,56,0.0,0.0
0.0,0.0,204727,0,0,0,0,0,2,0.0,0.0,0,Malang,0.0,176,False,Permanent move to RC Lens,2024-07-29T09:46:25.583703Z,45,204727.jpg,0.0,Sarr,0.0,False,,u,6,8,0,0,0,435,0,0.0,0.0,M.Sarr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,560,215,558,215,537,210,563,215,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,372,62,519,210,568,213,664,222,0.0,0.0
,,248857,0,0,-1,1,1,3,2.3,2.3,3,Noni,1.8,177,False,,,64,248857.jpg,4.7,Madueke,7.3,False,,a,6,8,52,2033822,3100,1474209,3697,0.3,8.1,Madueke,241.0,838,4,1,3,11,0,0,0,2,0,0,6,182,198.2,151.7,352.0,70.3,11,3.12,1.01,4.13,12.36,81,27,76,58,9,5,28,21,,,,,3.0,,0.34,0.0,0.11,0.45,1.33,1.18,49,29,197,91,23,10,59,15,1.18,0.32
,,499309,0,0,-2,2,0,4,0.5,0.5,0,Marc,0.0,178,False,,,48,499309.jpg,1.0,Guiu Paz,0.6,False,,a,6,8,1,70030,92,101922,227,0.0,0.2,Marc Guiu,200.0,24,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.11,634,58,414,43,621,58,635,58,,,,,,,0.0,0.0,0.0,0.0,0.41,3.75,328,62,606,58,399,40,248,42,0.0,0.0
,,465920,0,0,-3,3,0,3,1.3,1.3,0,Mykhailo,0.8,179,False,,,62,465920.jpg,1.0,Mudryk,0.2,False,,a,6,8,7,16340,49,35137,98,0.1,1.1,Mudryk,225.0,145,0,0,0,2,0,0,0,0,0,0,0,26,23.2,31.5,31.0,8.5,1,0.24,0.66,0.90,3.28,344,162,266,158,235,133,320,158,,,,,,,0.15,0.0,0.41,0.56,2.04,1.24,72,48,296,146,416,208,337,115,0.62,0.0
,,517052,0,0,4,-4,2,4,5.7,5.7,9,Nicolas,5.2,180,False,,,79,517052.jpg,5.8,Jackson,18.0,False,,a,6,8,69,2885256,17123,1310759,2672,0.7,8.7,N.Jackson,189.0,955,7,4,3,12,0,0,0,4,0,0,9,303,298.2,151.8,387.0,83.7,12,6.40,0.53,6.93,13.73,18,4,75,2,6,2,11,3,,,,,,,0.6,0.0,0.05,0.65,1.29,1.13,14,5,17,7,13,6,21,6,1.13,0.28
,,213198,0,0,-6,6,0,3,1.0,1.0,1,Christopher,0.5,181,False,,,59,213198.jpg,1.5,Nkunku,2.4,False,,a,6,8,16,234283,207,1533195,624,0.1,2.7,Nkunku,73.0,162,1,0,0,2,0,0,0,1,0,0,1,55,62.8,51.4,112.0,22.4,1,2.07,0.19,2.26,3.17,277,127,220,136,97,62,219,112,,,,,2.0,,1.15,0.0,0.11,1.26,1.76,1.11,84,53,327,160,313,149,121,37,0.56,0.0
100.0,75.0,244851,0,0,4,-4,3,3,4.7,3.5,2,Cole,4.2,182,True,,2024-11-12T14:30:07.656076Z,109,244851.jpg,7.2,Palmer,54.7,False,,a,6,8,86,4111934,6354,2211125,15872,0.4,7.9,Palmer,241.0,1045,7,5,2,14,0,0,0,3,0,0,13,369,429.6,386.3,281.0,109.8,12,5.78,2.71,8.49,15.26,4,2,4,4,22,11,4,3,1.0,,1.0,,1.0,,0.5,0.0,0.23,0.73,1.31,1.21,3,2,30,13,2,2,2,1,1.03,0.17
0.0,0.0,457569,0,0,-1,1,0,1,0.0,0.0,0,Đorđe,0.0,183,False,Loaned to Strasbourg,2024-08-31T06:26:07.653045Z,44,457569.jpg,0.0,Petrović,0.2,False,,u,6,8,0,2753,0,59842,26,0.0,0.0,Petrović,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,545,69,542,61,518,53,548,69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,516,27,502,68,553,69,363,51,0.0,0.0
,,551230,0,0,0,0,0,3,0.5,0.5,0,Renato,0.0,184,False,,,45,551230.jpg,1.0,Palma Veiga,0.2,False,,a,6,8,5,37967,23,30447,84,0.0,1.1,Renato Veiga,173.0,164,0,0,1,1,0,0,0,2,0,0,0,17,30.4,8.4,19.0,5.8,1,0.16,0.15,0.31,2.29,334,155,351,196,274,152,345,170,,,,,,,0.09,0.0,0.08,0.17,1.26,0.55,456,282,575,240,382,182,353,123,0.55,0.55
,,215059,0,0,2,-2,2,1,2.3,2.3,1,Robert,1.8,185,False,,,47,215059.jpg,3.8,Sánchez,11.9,False,,a,6,8,45,1471759,1599,564280,2877,0.4,9.6,Sánchez,200.0,1080,0,0,2,14,0,1,0,3,0,42,5,171,326.0,0.0,0.0,32.5,12,0.00,0.01,0.01,15.66,11,3,624,66,610,62,148,3,,,,,,,0.0,3.5,0.0,0.0,1.3,1.17,337,12,178,18,62,10,36,5,1.0,0.17
,,109646,0,0,-2,2,0,2,0.5,0.5,0,Tosin,0.0,187,False,,,43,109646.jpg,1.8,Adarabioyo,0.2,False,,a,6,8,7,14888,12,26615,58,0.0,1.6,Tosin,241.0,171,0,0,1,2,0,0,0,1,0,0,0,42,38.6,11.7,0.0,5.1,2,0.00,0.00,0.00,3.16,323,114,330,105,484,186,353,115,,,,,,,0.0,0.0,0.0,0.0,1.66,1.05,540,124,470,184,255,80,396,143,1.05,0.53
100.0,75.0,444463,0,0,0,0,0,2,2.3,1.7,2,Wesley,1.8,189,False,,2024-11-11T16:00:06.375382Z,45,444463.jpg,1.6,Fofana,0.5,False,,a,6,8,18,76936,364,74794,97,0.4,4.0,W.Fofana,73.0,956,0,0,1,12,0,0,0,6,0,0,2,119,173.6,64.7,29.0,26.8,11,0.40,0.15,0.55,13.37,112,43,189,49,238,67,194,57,,,,,,,0.04,0.0,0.01,0.05,1.26,1.13,396,78,176,56,294,99,263,97,1.04,0.09
100.0,75.0,209243,0,0,-2,2,0,3,0.7,0.5,1,Jadon,0.2,386,False,,2024-11-07T09:00:07.812014Z,63,209243.jpg,3.3,Sancho,0.9,False,,a,6,8,20,328886,80,297913,865,0.0,3.2,Sancho,241.0,310,0,4,0,5,0,0,0,1,0,0,1,82,75.8,116.5,41.0,23.3,4,0.08,0.86,0.94,4.39,250,109,119,88,215,123,213,108,,,,,,,0.02,0.0,0.25,0.27,1.27,1.45,57,35,369,181,89,38,208,64,1.16,0.0
,,247632,0,0,-3,3,0,3,4.5,4.5,0,Pedro,4.0,560,False,,,62,247632.jpg,2.3,Lomba Neto,1.7,False,,a,6,8,25,200095,1395,143818,2588,0.6,4.0,Neto,173.0,555,1,2,0,6,0,0,0,4,0,0,4,115,142.4,212.5,101.0,45.6,5,0.43,1.30,1.73,8.19,154,55,37,32,110,71,76,46,4.0,,,,,,0.07,0.0,0.21,0.28,1.33,0.97,70,46,39,16,193,85,149,44,0.81,0.0
0.0,0.0,488464,0,0,0,0,0,2,0.0,0.0,0,Caleb,0.0,575,False,Loaned to Strasbourg,2024-08-13T07:07:06.645739Z,40,488464.jpg,0.0,Wiley,0.0,False,,u,6,8,0,0,0,3328,2,0.0,0.0,Wiley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,496,175,481,174,443,157,499,175,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,640,189,429,154,503,172,592,199,0.0,0.0
100.0,75.0,508479,0,0,-3,3,0,1,0.5,0.4,0,Filip,0.0,581,False,,2024-11-21T08:30:09.544798Z,42,508479.jpg,0.0,Jørgensen,0.2,False,,a,6,8,0,7214,9,25491,40,0.0,0.0,Jørgensen,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,522,62,508,45,476,36,525,62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,577,39,460,55,531,62,376,54,0.0,0.0
,,428399,0,0,-4,4,0,3,1.3,1.3,3,João,0.8,621,False,,,61,428399.jpg,2.0,Félix Sequeira,0.5,False,,a,6,8,12,149230,441,139863,139,0.1,2.0,João Félix,173.0,198,1,0,1,0,0,0,0,1,0,0,0,47,45.0,19.9,57.0,12.1,1,0.58,0.14,0.72,1.45,307,145,300,172,183,110,292,143,,,,,,,0.26,0.0,0.06,0.32,0.66,0.0,76,50,294,144,236,108,256,83,0.45,0.45
0.0,0.0,205533,0,0,-1,1,0,4,0.0,0.0,0,Eddie,0.8,11,False,Hamstring injury - Unknown return date,2024-11-08T15:00:07.256448Z,59,205533.jpg,1.7,Nketiah,0.5,False,,i,7,31,12,154737,3,157963,431,0.1,2.0,Nketiah,241.0,488,0,0,1,8,0,0,0,1,0,0,0,58,46.2,84.2,162.0,29.0,6,1.02,0.39,1.41,7.90,305,31,158,18,63,22,178,26,,,,,,,0.19,0.0,0.07,0.26,1.46,1.48,83,24,293,36,287,33,261,43,1.11,0.18
100.0,100.0,180736,0,0,-1,1,1,2,4.0,4.0,0,Trevoh,4.0,159,False,,2024-09-13T15:30:06.602568Z,44,180736.jpg,3.3,Chalobah,0.6,False,,a,7,31,20,61231,1525,26109,197,0.9,4.5,Chalobah,241.0,537,1,0,1,8,0,0,0,1,0,0,2,85,139.2,38.4,63.0,24.1,6,0.36,0.06,0.42,10.19,162,64,254,76,167,33,206,60,,,,,,,0.06,0.0,0.01,0.07,1.71,1.34,489,97,32,7,84,19,247,90,1.01,0.17
0.0,0.0,466117,0,0,0,0,0,3,0.0,0.0,0,Naouirou,0.0,190,False,Loaned to Rennes,2024-08-31T06:25:25.419519Z,45,466117.jpg,0.0,Ahamada,0.1,False,,u,7,31,0,6178,0,31325,18,0.0,0.0,Ahamada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,580,244,578,249,557,239,583,247,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,409,246,540,211,588,250,427,153,0.0,0.0
100.0,100.0,438464,0,0,-1,1,0,3,1.0,1.0,2,Cheick,1.0,193,False,,2024-09-14T18:00:06.266238Z,49,438464.jpg,1.7,Doucouré,0.1,False,,a,7,31,10,11206,15,16535,3,0.2,2.0,C.Doucouré,132.0,192,0,1,0,3,0,0,0,0,0,0,0,33,18.0,6.8,7.0,3.1,2,0.06,0.01,0.07,4.92,360,171,358,199,334,183,379,186,,,,,,,0.03,0.0,0.0,0.03,2.31,1.41,275,180,243,111,281,129,500,191,0.94,0.0
100.0,100.0,427623,0,0,-1,1,0,2,0.2,0.2,1,Chris,0.2,194,False,,2024-09-27T15:30:06.509919Z,44,427623.jpg,2.0,Richards,0.1,False,,a,7,31,10,5676,13,16536,6,0.0,2.3,C.Richards,229.0,344,0,0,1,5,0,0,0,1,0,0,0,38,56.8,3.6,6.0,6.7,4,0.12,0.01,0.13,6.69,286,102,376,128,338,114,332,109,,,,,,,0.03,0.0,0.0,0.03,1.75,1.31,513,114,339,118,227,72,447,161,1.05,0.26
0.0,0.0,515621,0,0,-2,2,0,2,0.0,0.0,0,Chadi,0.0,195,False,Knee injury - Expected back 15 Dec,2024-08-28T16:30:04.488064Z,43,515621.jpg,1.0,Riad Dnanou,0.1,False,,i,7,31,1,1714,0,12558,3,0.0,0.2,Chadi Riad,145.0,90,0,0,0,2,0,0,0,0,0,0,0,3,18.2,1.3,0.0,2.0,1,0.00,0.02,0.02,1.39,359,127,397,138,498,196,401,132,,,,,,,0.0,0.0,0.02,0.02,1.39,2.0,567,147,483,194,368,129,511,184,1.0,0.0
,,57328,0,0,-1,1,0,2,1.0,1.0,1,Nathaniel,1.0,196,False,,,44,57328.jpg,2.2,Clyne,0.1,False,,a,7,31,13,5606,13,9357,11,0.2,3.0,Clyne,241.0,294,0,0,1,4,0,0,0,0,0,0,0,44,41.8,6.4,3.0,5.1,3,0.01,0.02,0.03,5.99,314,111,361,117,360,120,354,116,,,,,,,0.0,0.0,0.01,0.01,1.83,1.22,475,87,229,75,196,62,438,159,0.92,0.31
0.0,0.0,450535,0,0,0,0,0,3,0.0,0.0,0,Malcolm,0.0,197,False,Season long loan to Oxford United,2024-08-06T17:23:26.723638Z,45,450535.jpg,0.0,Ebiowei,0.0,False,,u,7,31,0,0,0,437,0,0.0,0.0,Ebiowei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,571,237,569,242,548,232,574,240,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,397,238,531,204,579,243,665,298,0.0,0.0
0.0,0.0,232413,0,0,-4,4,1,3,0.0,0.0,0,Eberechi,1.5,199,False,Hamstring injury - Expected back 30 Nov,2024-10-31T02:30:07.120686Z,66,232413.jpg,3.4,Eze,8.0,False,,i,7,31,31,932539,38,3380111,3187,0.2,4.7,Eze,241.0,810,1,1,2,11,0,0,0,0,0,0,3,144,158.2,252.9,266.0,67.6,9,2.92,1.38,4.30,12.81,132,45,27,23,24,13,31,23,1.0,,1.0,,2.0,,0.32,0.0,0.15,0.47,1.42,1.22,40,21,207,95,82,35,54,14,1.0,0.22
,,209036,0,0,0,0,1,2,3.8,3.8,1,Marc,3.8,200,False,,,45,209036.jpg,3.2,Guéhi,7.5,False,,a,7,31,38,453824,2743,398985,1037,0.8,8.4,Guéhi,241.0,1080,2,0,2,17,0,0,0,1,0,0,2,167,343.8,52.6,110.0,50.7,12,1.06,0.25,1.31,19.35,8,2,219,58,99,9,60,9,,,,,,,0.09,0.0,0.02,0.11,1.61,1.42,375,65,40,10,91,21,56,19,1.0,0.17
,,172649,0,0,-1,1,2,1,4.8,4.8,7,Dean,4.8,201,False,,,44,172649.jpg,3.6,Henderson,10.2,False,,a,7,31,43,531537,2154,1146071,750,1.1,9.8,Henderson,241.0,1080,0,0,2,17,0,1,0,1,0,42,3,145,296.6,0.0,4.0,30.1,12,0.01,0.00,0.01,19.35,19,7,530,57,349,1,168,7,,,,,,,0.0,3.5,0.0,0.0,1.61,1.42,488,23,20,2,68,11,43,8,1.0,0.17
,,156074,0,0,-2,2,0,2,0.0,0.0,0,Rob,0.0,202,False,,,43,156074.jpg,0.0,Holding,0.1,False,,a,7,31,0,2085,6,6567,4,0.0,0.0,Holding,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,527,198,517,197,488,188,530,198,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,546,128,474,187,536,197,463,168,0.0,0.0
100.0,100.0,108413,0,0,-1,1,0,3,1.2,1.2,2,Will,1.2,203,False,,2024-11-02T21:30:06.165599Z,49,108413.jpg,1.1,Hughes,0.0,False,,a,7,31,11,2584,9,4633,2,0.2,2.2,Hughes,241.0,542,0,0,1,9,0,0,0,5,0,0,0,52,65.8,115.9,35.0,21.5,5,0.36,0.47,0.83,11.16,269,121,120,89,227,127,235,118,2.0,,,,,,0.06,0.0,0.08,0.14,1.85,1.49,247,158,213,97,350,172,549,221,0.83,0.17
0.0,0.0,209400,0,0,-4,4,0,3,0.0,0.0,0,Daichi,0.5,205,False,Suspended until 07 Dec,2024-11-09T20:00:07.600072Z,51,209400.jpg,1.3,Kamada,0.1,False,,s,7,31,14,12808,3,55668,56,0.1,2.7,Kamada,108.0,616,0,0,1,11,0,0,0,2,1,0,0,74,99.8,166.8,73.0,34.1,7,0.56,0.51,1.07,10.30,214,87,62,50,150,93,132,78,,,,,,,0.08,0.0,0.07,0.15,1.5,1.61,181,112,323,158,330,160,417,150,1.02,0.15
